Wall time,Step,Value
1778727728.9853523,5640,507.9290771484375
1778727733.5812304,5650,428.6451416015625
1778727738.1336145,5660,428.29345703125
1778727756.6684906,5700,559.8623657226562
1778727775.1504128,5740,416.7592468261719
1778727779.7293947,5750,428.4372253417969
1778727793.4336052,5780,451.4277038574219
1778727802.6255035,5800,511.76239013671875
1778727807.196091,5810,433.63665771484375
1778727811.7823565,5820,410.31146240234375
1778727816.268484,5830,422.525390625
1778727820.8474793,5840,425.0802917480469
1778727825.3222103,5850,428.9507751464844
1778727834.314722,5870,418.45703125
1778727838.8724484,5880,427.4041748046875
1778727861.7985413,5930,436.412109375
1778727866.46806,5940,438.86016845703125
1778727880.1893325,5970,413.6080627441406
1778727884.7813647,5980,528.1219482421875
1778727898.8517814,6010,454.46966552734375
1778727908.0179687,6030,426.1863098144531
1778727926.585669,6070,442.31414794921875
1778727935.926645,6090,421.1006164550781
1778727945.2664971,6110,427.2470397949219
1778727954.4945807,6130,429.910888671875
1778727968.4051948,6160,441.04290771484375
1778727986.8615332,6200,495.2173156738281
1778727991.5125782,6210,438.7650451660156
1778728000.756064,6230,426.89801025390625
1778728014.298694,6260,428.5028076171875
1778728032.6047864,6300,484.6892395019531
1778728055.5244403,6350,420.1827087402344
1778728087.8396149,6420,436.5656433105469
1778728092.4478898,6430,414.6673583984375
1778728101.5973222,6450,428.09869384765625
1778728106.168872,6460,436.2900390625
1778728110.8001766,6470,436.5098571777344
1778728115.423761,6480,431.5249938964844
1778728124.5951757,6500,513.1544799804688
1778728138.3632312,6530,424.3230895996094
1778728157.1641548,6570,422.41644287109375
1778728161.7721894,6580,477.6318054199219
1778728180.348683,6620,421.78631591796875
1778728194.0556636,6650,419.9001770019531
1778728213.108914,6690,422.1177062988281
1778728227.2705214,6720,432.6539001464844
1778728231.9455419,6730,447.143798828125
1778728236.649887,6740,430.6421203613281
1778728241.4607143,6750,453.93634033203125
1778728246.3654451,6760,473.7897033691406
1778728256.0196562,6780,446.1276550292969
1778728261.433111,6790,469.1121520996094
1778728266.377145,6800,525.9017944335938
1778728276.700807,6820,449.99932861328125
1778728281.6925995,6830,432.118896484375
1778728286.3641677,6840,437.0784912109375
1778728291.186752,6850,442.8665771484375
1778728300.621453,6870,439.6064147949219
1778728310.0332782,6890,429.4319152832031
1778728314.77273,6900,542.1376342773438
1778728347.869995,6970,432.53826904296875
1778728362.074002,7000,556.3094482421875
1778728366.731873,7010,429.3959045410156
1778728371.3290782,7020,441.72930908203125
1778728380.8068929,7040,437.336669921875
1778728394.9649258,7070,441.995849609375
1778728404.2089176,7090,446.9618835449219
1778728413.6670122,7110,444.83160400390625
1778728432.6560223,7150,439.4240417480469
1778728451.694925,7190,433.7124938964844
1778728466.051633,7220,439.81719970703125
1778728470.7207787,7230,425.099853515625
1778728475.3515375,7240,423.481689453125
1778728480.0317316,7250,424.9589538574219
1778728484.8187602,7260,571.0923461914062
1778728508.6123393,7310,445.7239990234375
1778728537.2452097,7370,446.71441650390625
1778728546.835498,7390,435.984375
1778728551.6545055,7400,505.76544189453125
1778728556.3878477,7410,436.8994140625
1778728570.4831767,7440,458.5711975097656
1778728584.6890206,7470,434.57220458984375
1778728589.6051958,7480,428.35736083984375
1778728603.8374672,7510,443.451171875
1778728608.5364769,7520,440.2005615234375
1778728613.2150443,7530,431.5126037597656
1778728622.681593,7550,432.08624267578125
1778728632.2561111,7570,437.236083984375
1778728661.9044383,7630,443.0911560058594
1778728676.712113,7660,456.6614685058594
1778728681.73201,7670,452.240478515625
1778728697.0773027,7700,533.5128173828125
1778728702.0874515,7710,456.8677062988281
1778728706.992147,7720,483.0713195800781
1778728717.059403,7740,481.7800598144531
1778728722.059182,7750,449.8643798828125
1778728751.6946712,7810,443.2361145019531
1778728771.5969262,7850,464.60748291015625
1778728776.7309184,7860,457.3829040527344
1778728786.608697,7880,435.10650634765625
1778728796.863281,7900,788.9740600585938
1778728831.4669359,7920,1597.23681640625
1778728848.1229389,7930,1616.3272705078125
1778728865.1421726,7940,1741.2860107421875
1778728881.5767455,7950,1462.9168701171875
1778728898.5031958,7960,1621.6668701171875
1778728947.5281987,7990,1816.296630859375
1778728970.0533843,8010,447.6230163574219
1778728980.0561073,8030,444.895751953125
1778728995.211225,8060,467.4646911621094
1778729005.218906,8080,455.1305847167969
1778729010.2439084,8090,508.5787658691406
1778729015.2336528,8100,539.1721801757812
1778729034.979281,8140,441.2264709472656
1778729046.51259,8160,476.4115905761719
1778729054.947392,8170,742.5010375976562
1778729065.920571,8190,432.6729736328125
1778729080.1138158,8220,436.6874694824219
1778729098.981295,8260,435.80340576171875
1778729113.184683,8290,423.2923889160156
1778729127.6237893,8320,464.88427734375
1778729132.4964213,8330,451.1354064941406
1778729142.086912,8350,436.95306396484375
1778729151.5759892,8370,431.2694091796875
1778729161.2984896,8390,455.11602783203125
1778729192.088602,8440,578.4935913085938
1778729210.4525683,8470,613.86181640625
1778729216.6142588,8480,579.497802734375
1778729222.7573178,8490,573.4389038085938
1778729238.4465659,8520,424.1678771972656
1778729276.7589521,8600,547.9368896484375
1778729281.625236,8610,448.53924560546875
1778729296.3897266,8640,439.4893798828125
1778729315.4310803,8680,437.1497497558594
1778729325.0794399,8700,514.0225830078125
1778729329.872307,8710,434.3023376464844
1778729348.9959443,8750,457.1182861328125
1778729358.6729689,8770,423.0260925292969
1778729363.3749259,8780,438.486328125
1778729377.7307556,8810,444.987548828125
1778729387.4199445,8830,448.5812072753906
1778729396.8787622,8850,443.4852600097656
1778729411.7682781,8880,434.4591979980469
1778729421.391669,8900,515.2222900390625
1778729426.1850448,8910,464.5953063964844
1778729436.0819395,8930,448.92431640625
1778729440.8779457,8940,450.0462951660156
1778729455.4681556,8970,464.07293701171875
1778729470.0982597,9000,568.094482421875
1778729474.8729448,9010,431.57769775390625
1778729508.9860687,9080,455.2655334472656
1778729513.8812664,9090,456.3948974609375
1778729518.9214463,9100,554.1546630859375
1778729523.6595798,9110,438.72882080078125
1778729533.3352275,9130,448.8465881347656
1778729538.195259,9140,440.9134521484375
1778729547.7212794,9160,434.2084045410156
1778729552.4218016,9170,437.6153869628906
1778729557.1247475,9180,423.5501403808594
1778729571.6660035,9210,440.4077453613281
1778729576.3668616,9220,433.7554016113281
1778729581.126447,9230,443.0079345703125
1778729585.8301132,9240,446.8166809082031
1778729595.454897,9260,459.2909851074219
1778729624.1778207,9320,446.45452880859375
1778729629.0014327,9330,420.8106994628906
1778729643.3119435,9360,439.4180908203125
1778729676.6673915,9430,429.3219909667969
1778729691.0627155,9460,415.4017028808594
1778729724.2621145,9530,462.8212585449219
1778729729.2837372,9540,453.8481140136719
1778729734.2107825,9550,440.5200500488281
1778729743.4851565,9570,427.28900146484375
1778729748.0667334,9580,411.2639465332031
1778729752.6986268,9590,423.4859924316406
1778729766.9499025,9620,432.2013854980469
1778729771.6879416,9630,453.58587646484375
1778729780.9511871,9650,433.2950134277344
1778729790.3562353,9670,436.8126525878906
1778729794.912415,9680,415.50921630859375
1778729813.8409994,9720,448.05645751953125
1778729818.6694252,9730,435.9479064941406
1778729837.9122596,9770,451.56622314453125
1778729842.772215,9780,446.1357727050781
1778729847.4798486,9790,430.796630859375
1778729852.5343213,9800,504.3787841796875
1778729866.8779612,9830,435.45318603515625
1778729871.6946442,9840,450.774658203125
1778729876.3813791,9850,443.73870849609375
1778729890.6131775,9880,442.94000244140625
1778729895.3990145,9890,434.122802734375
1778729935.2773783,9970,443.3603210449219
1778729973.5970526,10010,424.5872497558594
1778729982.932748,10030,427.3495788574219
1778729992.3603122,10050,417.9680480957031
1778729996.9820735,10060,423.4480895996094
1778730011.5253038,10090,442.6996765136719
1778730016.3540695,10100,552.5972900390625
1778730025.8644037,10120,434.10491943359375
1778730030.7066631,10130,435.3451843261719
1778730035.4637046,10140,425.61151123046875
1778730040.2940922,10150,436.90966796875
1778730054.4433918,10180,420.10498046875
1778730093.2723155,10260,443.2232360839844
1778730102.7542436,10280,445.4429016113281
1778730112.4465446,10300,561.2890625
1778730122.2711244,10320,445.72137451171875
1778730127.051686,10330,453.4144287109375
1778730131.7322319,10340,446.0432434082031
1778730141.1985066,10360,434.48065185546875
1778730150.7674592,10380,431.7696228027344
1778730155.5249755,10390,436.3215026855469
1778730160.2964342,10400,509.75299072265625
1778730258.3740573,10430,3025.818603515625
1778730324.225638,10450,3053.028076171875
1778730493.6121416,10520,453.87506103515625
1778730498.4301004,10530,454.773193359375
1778730513.2422698,10560,448.8363342285156
1778730522.7665913,10580,433.2053527832031
1778730551.6424437,10640,452.2848205566406
1778730556.4763334,10650,434.6885681152344
1778730565.960612,10670,428.59649658203125
1778730575.6105583,10690,449.4881591796875
1778730595.1094766,10730,454.31756591796875
1778730615.0521193,10770,434.6053466796875
1778730624.7571225,10790,452.2590637207031
1778730635.0387392,10810,438.5974426269531
1778730649.4305098,10840,425.3017883300781
1778730654.2576897,10850,452.768310546875
1778730659.2193048,10860,443.3035888671875
1778730664.1456,10870,453.69244384765625
1778730693.5032222,10930,442.0690612792969
1778730698.319177,10940,447.275634765625
1778730727.4492846,11000,549.5977172851562
1778730737.0671725,11020,456.4147033691406
1778730746.7794805,11040,449.9459228515625
1778730751.5717127,11050,441.66351318359375
1778730756.3351455,11060,443.98284912109375
1778730800.1429524,11150,450.0365295410156
1778730809.8533056,11170,455.60955810546875
1778730824.700356,11200,520.2646484375
1778730844.037504,11240,432.759521484375
1778730853.7939305,11260,445.8472595214844
1778730858.639755,11270,443.14337158203125
1778730878.2267928,11310,456.54534912109375
1778730883.1229494,11320,460.9637145996094
1778730892.9544117,11340,446.197998046875
1778730897.841636,11350,443.0840148925781
1778730902.870393,11360,467.1413879394531
1778730917.4690008,11390,444.0417175292969
1778730922.3813572,11400,526.4115600585938
1778730972.077473,11500,793.35400390625
1778730981.9998422,11520,465.7864685058594
1778730986.9229474,11530,443.9654235839844
1778731001.3839242,11560,445.4202575683594
1778731006.2537315,11570,449.7725830078125
1778731011.1148052,11580,458.7044677734375
1778731025.8153217,11610,452.82244873046875
1778731030.7380712,11620,467.2901611328125
1778731036.0905068,11630,455.4862976074219
1778731109.6566904,11780,458.1103210449219
1778731124.5017214,11810,448.65228271484375
1778731134.2035306,11830,445.2912902832031
1778731139.190444,11840,470.754638671875
1778731149.1042035,11860,433.339599609375
1778731153.9905436,11870,438.9047546386719
1778731168.853115,11900,544.9915161132812
1778731183.5579154,11930,471.8384704589844
1778731188.511117,11940,444.7107238769531
1778731193.4336689,11950,449.9216003417969
1778731198.3173754,11960,453.92822265625
1778731208.7579434,11980,464.3814697265625
1778731218.9426205,12000,604.4464111328125
1778731228.769502,12020,460.44683837890625
1778731238.6515853,12040,477.01837158203125
1778731243.622144,12050,444.7271728515625
1778731253.4943938,12070,444.04290771484375
1778731263.2275543,12090,456.5479736328125
1778731273.3041549,12110,459.01702880859375
1778731278.294751,12120,457.9887390136719
1778731283.2087245,12130,438.1661376953125
1778731288.200422,12140,471.0526428222656
1778731293.1254904,12150,434.4372863769531
1778731343.0847661,12250,461.6396484375
1778731362.7954838,12290,432.94000244140625
1778731382.8668027,12330,458.7392883300781
1778731387.770588,12340,455.9690856933594
1778731392.708976,12350,437.65234375
1778731402.7245624,12370,445.5771484375
1778731417.744868,12400,535.51123046875
1778731442.8933668,12430,856.7294921875
1778731459.759761,12450,780.812255859375
1778731476.1160276,12470,887.7174682617188
1778731484.5287795,12480,932.5280151367188
1778731501.2831302,12500,891.1111450195312
1778731521.0895956,12540,441.66302490234375
1778731526.0267966,12550,463.592529296875
1778731530.9876106,12560,460.418212890625
1778731540.9886317,12580,456.6559753417969
1778731545.895906,12590,462.78070068359375
1778731561.0853376,12620,470.59393310546875
1778731566.142013,12630,461.8668518066406
1778731571.1366313,12640,444.4386901855469
1778731576.1714752,12650,448.8375244140625
1778731586.101484,12670,461.3564147949219
1778731611.212467,12720,462.82672119140625
1778731626.284698,12750,450.8576354980469
1778731651.255156,12800,532.1058959960938
1778731661.2868192,12820,468.6024169921875
1778731681.4341607,12860,460.3080749511719
1778731691.5159638,12880,465.3489685058594
1778731756.1344423,12920,2978.304931640625
1778731786.3381817,12930,2814.398193359375
1778731814.9956229,12940,3065.8623046875
1778731842.70076,12950,2923.32177734375
1778731899.0589583,12970,2958.67333984375
1778731979.4158456,13000,3868.06787109375
1778731987.6944923,13010,453.9947509765625
1778731997.666073,13030,468.9602966308594
1778732002.6263444,13040,442.0504455566406
1778732007.6596289,13050,460.0226745605469
1778732037.8517873,13110,472.9750061035156
1778732047.9585972,13130,466.4866943359375
1778732052.9621658,13140,439.9957580566406
1778732063.0619848,13160,462.89373779296875
1778732068.1179845,13170,467.356689453125
1778732083.4924066,13200,536.926025390625
1778732088.5639703,13210,456.13861083984375
1778732113.8333507,13260,472.13458251953125
1778732119.0693269,13270,538.1293334960938
1778732124.1337888,13280,467.0121765136719
1778732139.4975564,13310,466.73583984375
1778732149.4969113,13330,461.8008117675781
1778732154.4185317,13340,450.5753479003906
1778732159.3555224,13350,461.9510192871094
1778732164.3163147,13360,459.5196228027344
1778732169.3707364,13370,473.9990234375
1778732174.478991,13380,469.7453918457031
1778732204.5542037,13440,455.26885986328125
1778732229.7277286,13490,478.01470947265625
1778732234.808852,13500,566.203857421875
1778732239.7639215,13510,444.4222412109375
1778732265.075122,13560,457.5719909667969
1778732285.2328634,13600,556.3578491210938
1778732295.33278,13620,464.39410400390625
1778732300.3104188,13630,448.92596435546875
1778732320.4028144,13670,466.71295166015625
1778732340.567534,13710,461.8847351074219
1778732375.976766,13780,527.3001098632812
1778732386.1781044,13800,559.6558837890625
1778732401.8456128,13830,855.3082885742188
1778732412.1531818,13850,466.58563232421875
1778732417.2524912,13860,441.598876953125
1778732432.8032646,13890,477.304443359375
1778732438.0584314,13900,532.227783203125
1778732448.340926,13920,458.658935546875
1778732453.4704,13930,471.5120849609375
1778732469.1069396,13960,455.942626953125
1778732555.6639874,14130,467.9462890625
1778732560.7339158,14140,451.201904296875
1778732565.7389834,14150,460.9594421386719
1778732570.8098428,14160,471.120849609375
1778732591.0509138,14200,550.7588500976562
1778732606.2660108,14230,452.219970703125
1778732611.4246395,14240,453.6495361328125
1778732626.7698255,14270,462.391845703125
1778732631.8637075,14280,468.8017272949219
1778732636.9530275,14290,475.7931213378906
1778732704.2030082,14330,3577.76513671875
1778732727.1922338,14340,1443.4046630859375
1778732747.9563959,14350,1376.708740234375
1778732790.1390517,14370,1289.105712890625
1778732826.7223773,14390,1562.11328125
1778732858.2160065,14410,1057.8177490234375
1778732881.9866836,14430,1052.359619140625
1778732954.775878,14490,1107.708740234375
1778732976.4845018,14510,464.4463195800781
1778733002.1375155,14560,817.322998046875
1778733007.1998029,14570,491.4381408691406
1778733053.3899443,14660,450.1714782714844
1778733058.465922,14670,462.3141174316406
1778733114.7077847,14780,443.99786376953125
1778733135.2793307,14820,453.958740234375
1778733140.3296607,14830,463.5024108886719
1778733155.6356516,14860,442.27410888671875
1778733160.6052232,14870,450.2785339355469
1778733176.1037138,14900,565.8850708007812
1778733186.2471962,14920,456.17437744140625
1778733191.3944414,14930,467.69451904296875
1778733196.5909536,14940,483.1998291015625
1778733249.8259068,15010,497.7707824707031
1778733255.3366115,15020,515.4810180664062
1778733260.9397058,15030,514.93212890625
1778733266.6205547,15040,505.32244873046875
1778733283.1558664,15070,517.4951782226562
1778733294.2697608,15090,524.3499145507812
1778733299.8456762,15100,577.5201416015625
1778733305.4387712,15110,531.757568359375
1778733311.0237632,15120,493.93487548828125
1778733339.0037656,15170,503.67449951171875
1778733350.0659626,15190,521.4147338867188
1778733377.950476,15240,504.11175537109375
1778733383.4749174,15250,516.336669921875
1778733400.1565146,15280,516.6947631835938
1778733439.0192902,15350,537.5685424804688
1778733450.2409985,15370,507.6453552246094
1778733525.7755349,15470,795.5587158203125
1778733542.9354134,15490,804.6324462890625
1778733551.9360814,15500,1327.383056640625
1778733564.2250068,15520,507.22265625
1778733569.7861507,15530,534.6856079101562
1778733580.8043244,15550,506.65496826171875
1778733586.5045273,15560,524.0902709960938
1778733621.1687953,15620,531.5210571289062
1778733626.860024,15630,529.9520263671875
1778733660.6638448,15690,522.1369018554688
1778733666.358645,15700,591.5358276367188
1778733717.5090408,15790,524.15966796875
1778733740.423406,15830,536.5650634765625
1778733751.7057729,15850,513.8089599609375
1778733774.1596591,15890,522.6409301757812
1778733807.9713345,15950,487.3006286621094
1778733824.9086013,15980,495.70703125
1778733836.2609496,16000,647.0971069335938
1778733853.1184654,16030,486.3924865722656
1778733864.3696024,16050,589.8280029296875
1778733869.9462016,16060,520.1707153320312
1778733892.5888405,16100,645.5154418945312
1778733898.3547986,16110,541.667236328125
1778733909.6499414,16130,525.6910400390625
1778733915.2050438,16140,489.8033142089844
1778733926.455013,16160,491.97625732421875
1778733943.4442718,16190,507.61627197265625
1778733949.2656875,16200,613.282470703125
1778733965.6109016,16210,1437.583984375
1778734029.7393935,16250,1500.6788330078125
1778734062.354907,16270,1498.8128662109375
1778734078.5784059,16280,1538.0281982421875
1778734094.4851923,16290,1614.827880859375
1778734174.689227,16310,5497.60546875
1778734301.8543673,16330,5920.90869140625
1778734424.1405387,16350,5684.42138671875
1778734609.8584979,16380,5911.42138671875
1778734759.495531,16410,2496.912353515625
1778734785.0927434,16420,2211.589111328125
1778734810.8277333,16430,2714.1064453125
1778734892.0891078,16460,2375.65625
1778734943.8866596,16480,2735.974609375
1778734971.746559,16490,2586.643310546875
1778735010.4795227,16520,493.80780029296875
1778735016.075527,16530,490.925537109375
1778735032.9096084,16560,494.59649658203125
1778735055.6407528,16600,603.3646850585938
1778735061.2795753,16610,494.8136901855469
1778735066.84869,16620,499.30047607421875
1778735106.6683977,16690,523.732177734375
1778735129.8244863,16710,1750.4713134765625
1778735146.6896393,16720,1423.9129638671875
1778735163.8274446,16730,1748.2569580078125
1778735213.4988477,16760,1638.509033203125
1778735229.9539125,16770,1481.7254638671875
1778735263.1830463,16790,1626.2037353515625
1778735314.7100751,16830,1065.6475830078125
1778735327.951439,16840,1201.143310546875
1778735341.2015085,16850,976.3541259765625
1778735379.2701037,16880,1067.951171875
1778735430.943491,16920,1428.2476806640625
1778735443.0521495,16930,836.0557861328125
1778735466.764314,16950,853.9902954101562
1778735478.3130028,16960,1208.4818115234375
1778735489.5224104,16970,986.1195068359375
1778735501.6579049,16980,1536.8702392578125
1778735527.0843542,17000,3290.165283203125
1778735546.8256092,17030,500.2448425292969
1778735552.4438457,17040,514.8125
1778735558.145519,17050,541.4037475585938
1778735563.865167,17060,527.4386596679688
1778735586.6465986,17100,625.78271484375
1778735592.3395777,17110,508.0528259277344
1778735620.7161078,17160,495.4469299316406
1778735632.1805544,17180,552.4110717773438
1778735637.9450557,17190,550.27294921875
1778735643.822737,17200,616.8682861328125
1778735666.530688,17240,510.4892272949219
